Nation,B,W,C,LI,LE,HDI,GNP,N,TV
Algeria,29.0,11,47,73,68,44,1.6,5,7
Argentina,19.5,38,--,88,76,96,4.0,12,22
Australia,14.1,61,76,93,81,99,16.6,25,48
Brazil,21.2,38,66,80,69,81,2.6,5,21
Canada,13.7,63,--,95,81,99,20.8,23,64
China,17.8,81,83,59,70,70,1.3,5,3
Cuba,14.5,50,70,77,77,94,1.6,17,16
Denmark,12.4,77,78,92,78,99,24.2,35,54
Egypt,28.7,12,46,61,65,36,.5,6,12
France,13.0,64,81,93,81,99,24.1,21,41
Germany,11.0,--,75,92,79,99,19.8,59,56
India,27.8,34,43,44,60,35,.3,3,4
Iraq,43.6,29,14,62,67,41,.7,4,7
Israel,20.4,49,--,91,78,95,13.6,26,27
Japan,10.7,64,64,94,82,99,27.3,59,61
Malaysia,28.0,55,48,75,73,82,2.5,14,15
Mexico,26.6,37,53,84,74,86,3.1,13,15
Nigeria,43.3,51,6,41,52,42,.2,--,--
Pakistan,41.8,16,12,48,63,63,.4,2,2
Philippines,30.4,44,40,68,68,94,.7,5,4
Russia,12.6,70,--,85,74,99,8.6,--,--
South,Africa,33.4,54,50,--,66,70,2.6,4,10
Spain,11.2,31,--,98,80,93,13.4,8,40
United,Kingdom,13.2,60,81,92,79,99,17.4,39,43
United,States,15.2,65,74,94,79,99,22.6,25,81
Vietnam,26.3,82,53,89,67,54,--,--,--
