Nation,Fertility,GDP
Algeria,2.5,2090	
Australia,1.7,26275
Austria,1.4,31289
Belgium,1.7,29096
Brazil,2.3,2788
Canada,1.5,27079
Chile,2.0,4591
China,1.7,1100
Denmark,1.8,39332
Egypt,3.3,1220
Finland,1.7,31058
France,1.9,29410
Germany,1.3,29115
Greece,1.3,15608
India,3.1,564	
Iran,2.1,2066
Ireland,1.9,38487
Israel,2.9,16481
Japan,1.3,33713
Malaysia,2.9,4187
Mexico,2.4,6121
Netherlands,1.7,31532
NewZealand,2.0,19847
Nigeria,5.8,428	
Norway,1.8,48412
Pakistan,4.3,555	
Philippines,3.2,989	
Russia,1.3,3018
SaudiaArabia,4.1,9532
SouthAfrica,2.8,3489
Spain,1.3,20404
Sweden,1.6,33676
Switzerland,1.4,43553
Turkey,2.5,3399
UnitKing,1.7,30253
US,2.0,37648
VietNam,2.3,482	
Yemen,6.2,565
