case,Taxes,Beds,Baths,New,Price,Size
1,3104,4,2,0,279900,2048
2,1173,2,1,0,146500,912
3,3076,4,2,0,237700,1654
4,1608,3,2,0,200000,2068
5,1454,3,3,0,159900,1477
6,2997,3,2,1,499900,3153
7,4054,3,2,0,265500,1355
8,3002,3,2,1,289900,2075
9,6627,5,4,0,587000,3990
10,320,3,2,0,70000,1160
11,630,3,2,0,64500,1220
12,1780,3,2,0,167000,1690
13,1630,3,2,0,114600,1380
14,1530,3,2,0,103000,1590
15,930,3,1,0,101000,1050
16,590,2,1,0,70000,770
17,1050,3,2,0,85000,1410
18,20,3,1,0,22500,1060
19,870,2,2,0,90000,1300
20,1320,3,2,0,133000,1500
21,1350,2,1,0,90500,820
22,5616,4,3,1,577500,3949
23,680,2,1,0,142500,1170
24,1840,3,2,0,160000,1500
25,3680,4,2,0,240000,2790
26,1660,3,1,0,87000,1030
27,1620,3,2,0,118600,1250
28,3100,3,2,0,140000,1760
29,2070,2,3,0,148000,1550
30,830,3,2,0,69000,1120
31,2260,4,2,0,176000,2000
32,1760,3,1,0,86500,1350
33,2750,3,2,1,180000,1840
34,2020,4,2,0,179000,2510
35,4900,3,3,1,338000,3110
36,1180,4,2,0,130000,1760
37,2150,3,2,0,163000,1710
38,1600,2,1,0,125000,1110
39,1970,3,2,0,100000,1360
40,2060,3,1,0,100000,1250
41,1980,3,1,0,100000,1250
42,1510,3,2,0,146500,1480
43,1710,3,2,0,144900,1520
44,1590,3,2,0,183000,2020
45,1230,3,2,0,69900,1010
46,1510,2,2,0,60000,1640
47,1450,2,2,0,127000,940
48,970,3,2,0,86000,1580
49,150,2,2,0,50000,860
50,1470,3,2,0,137000,1420
51,1850,3,2,0,121300,1270
52,820,2,1,0,81000,980
53,2050,4,2,0,188000,2300
54,710,3,2,0,85000,1430
55,1280,3,2,0,137000,1380
56,1360,3,2,0,145000,1240
57,830,3,2,0,69000,1120
58,800,3,2,0,109300,1120
59,1220,3,2,0,131500,1900
60,3360,4,3,0,200000,2430
61,210,3,2,0,81900,1080
62,380,2,1,0,91200,1350
63,1920,4,3,0,124500,1720
64,4350,3,3,0,225000,4050
65,1510,3,2,0,136500,1500
66,4154,3,3,0,381000,2581
67,1976,3,2,1,250000,2120
68,3605,3,3,1,354900,2745
69,1400,3,2,0,140000,1520
70,790,2,2,0,89900,1280
71,1210,3,2,0,137000,1620
72,1550,3,2,0,103000,1520
73,2800,3,2,0,183000,2030
74,2560,3,2,0,140000,1390
75,1390,4,2,0,160000,1880
76,5443,3,2,0,434000,2891
77,2850,2,1,0,130000,1340
78,2230,2,2,0,123000,940
79,20,2,1,0,21000,580
80,1510,4,2,0,85000,1410
81,710,3,2,0,69900,1150
82,1540,3,2,0,125000,1380
83,1780,3,2,1,162600,1470
84,2920,2,2,1,156900,1590
85,1710,3,2,1,105900,1200
86,1880,3,2,0,167500,1920
87,1680,3,2,0,151800,2150
88,3690,5,3,0,118300,2200
89,900,2,2,0,94300,860
90,560,3,1,0,93900,1230
91,2040,4,2,0,165000,1140
92,4390,4,3,1,285000,2650
93,690,3,1,0,45000,1060
94,2100,3,2,0,124900,1770
95,2880,4,2,0,147000,1860
96,990,2,2,0,176000,1060
97,3030,3,2,0,196500,1730
98,1580,3,2,0,132200,1370
99,1770,3,2,0,88400,1560
100,1430,3,2,0,127200,1340

